ግዕዝ ,ትግርኛ 
ተብሪዛት,ብብዝኂ ንሽንቲ
ተቢሳ,ደሮና
ተባዕት,ተባዕታይ
ተቤሳ,መጐልበቢ ገጽ፡ ሻሽ
ተብሲል,ጥጥቖ
ተንካ ተነካ,ዳዕሮ
ተንክ,ጸዶ (ንሜስ ዝኸውን)
ተናብልት,ልኡኻት
ተን,ሃፋ፡ ትኪ፡ ግመ
ተንከተም,ድልድል (ቢንቶ)
ተአማጎሲስ,ፀረ እግዚኣብሒር
ተአምር,ተኣምር፡ ምልክት
ተከዚ,ወኃዚ ማይ
ተኬሳ,መንኩብ
ተክሉ,ድዑል በጊዕ
ተክሊል,ሕጊ፡ ሥርዓት
ተክሪር,ቀውዒ
ተክሪዝ,መጽሓፈ ጵጵስና
ተክዚር,ተስካር
ተኵላ,ተዅላ
ተኳልው/ተኳሉት/ተኵላት,ተዃሉ
ተወን,ጽድያ፡ ኣዝመራ
ተዋሕዶ,ተዋሕዶ
ተዋርዶ,ውርደት
ተውኔት,ጸወታ፡ ሳዕስዒት
ተውሳክ,ተወሳኺ (ተደመሮ)
ተይፈን,ዝራብዕ
ተያፍን,ዝራብዓት
ተዳሂ,ቤተ ልሔም
ተግሣጽ,ማዕዳ፡ ተግሣፅ
ተግቢጥ,ሽቓቕ፡ ዓይኒ ምድሪ
ተጥላሳት,ኣስተዋጽኦ መጽሓፍ
ተጽራሕ,ካልኣይ ደርቢ
ተፉሕ,ድንሽ፡ ባናና፡ ቱፋሕ
ተፋውሕ,ደናንሽ
ቱማ,ፃዕዳ ሽጉርቲ
ቲሃ,ሽግ፡ ሆየ ሆየ
ታሪክ,ታሪኽ
ታርያጎሎስ,ደራሲ፡ ነባቤ መለኮት (ዮሐንስ)
ታቡላ,ጣውላ
ታቦት,ታቦት፡ ማኅደር
ታናቅ/ ቴናክ,ጸዶ (ንሜስ ቀመም ዝኣቱ)
ታአማጎሲስ,ፀረ እግዚኣብሔር
ታዕካ,ኣዳራሽ
ታፒ,ድባብ
ቴሎግና,ትምህርቲ ቃል እግዚኣብሔር
ቴውናቅ,መኾምብያ
ቴዳ/ ፔዳ,መስቀል
ቴገን/ ቴግኑ/ ቴጌል,ጕልሻ
ቴጉን,ሞቝሎ
ቴጎ,ድጕሪ
ቴፌን/ ቴፈን,ዝራብዕ
ትለቤ,እንጣጢዕ
ትላዕ,ጽኪ
ትልም,ትልሚ
ትልወት,ገዝሚ
ትሄ,ውሻጠ
ትሕላፍ,ሓላፍነት
ትሕቢት,ውሕሰነት፡ ትሕጃ
ትሕትና,ትሕትና
ትሕዝብት,ጥርጥር፡ ውልውል
ትማልም,ትማሊ
ትምክሕት,ትምክሕቲ
ትራፕ,መጻወድያ፡ ትራባ
ትርጋጽ,ትርጋጽ፡ ሸነኽ እግሪ
ትሮ,ብዕራይ
ትብሌ,ጥብቆ
ትንቢት,ትንቢት
ትንባክ,ትንባኮ
ትንንያ,ትንንያ (ጣንጡ)
ትእምርት,ምልክት፡ ማዕተብ
ትካት,ቀደም
ትካዜ/ ትካዝ,ጓሂ
ትኩዝ,ኀዙን
ትክት/ ትክቶ,ደመ ትክቶ (ፔሬድ)፡ ወርኃዊ ጽግያት
ትውዝፍት,ጌጻ ጌጽ፡ ኃጢኣት
ትውፊት,ውርሲ
