ግዕዝ ,ትግርኛ 
ማዕዘነ,ሠወረ
ምዕነ,ረግረግ (ሰልሚ) ኾነ
ሰሐነ,ሞቐ፡ ሰሓነ
ሰመነ,ሸሞንተ ገበረ
- ሰሰነ,ሰሰነ፡ በዝኀ
ሰአነ,ሰኣነ
ሰወነ,ለዘየ
ሴነ,ሸነ
ስዕነ,ሳእኒ ገበረ፡ ሳእኒ ወደየ
ረሐነ,ፀዓነ
ረስነ,ረሰነ
ረበነ,መሃረ
ረገነ,ቀዘፈ
ረጠነ,ፈውሲ ገበረ
ራሕበነ,ተፋቐረ
ራጐነ,ብቚሊ ኣብቈለ
ቀነነ,ሥርዓት ገበረ፡ ቀኖና ኃዘ
ቀጠነ,ቐጠነ፡ ረቐቐ
ቀጥነ,ቀጠነ
ቈንቈነ,ቈንቈነ፡ ነቐዘ
– በየነ,ፈረደ፡ ፈለጠ፡ ፈለየ፡ መረጸ፡ ኣመልከተ፡ተመልከተ
በደነ,በድኒ ኾነ
ባሕነነ,ባህነነ፡ ባዕገገ፡ ባከነ፡ ጠፍአ
ተሐነነ,ከኣለ
ተለሰነ,ቐባጠረ፡ ተዛረበ
ተመስከነ,ምስኪን መሰለ፡ ተሸገረ
ተመንገነ,ተመግደረ፡ ተሸገረ
ተመዝገነ,ተመስገነ
ተመየነ,ተተንኮለ
ተሰዐነ,ሣእኒ ወደየ
ተሳነነ,ተጻልአ፡ ተኻሰሰ፡ ተማጐተ
ተቃረነ,ተኸራኸረ፡ ተቓረነ
ተቃዐነ,ተጨነቐ
ተብሕነ,ጠፍአ
ተነ፡ ተነነ,ተነነ፡ ወፅአ፡ ተበተነ
ተንተነ,ሰንከልከል በለ
ተኣየነ,ተኸታተመ፡ ሓለወ
ተከየነ,ተሸፈነ
ተክህነ,ኣገልገለ
ተኰነነ,ተገዝአ
ተኳነነ,ተወቓቐሰ፡ ተዓርቀ፡ ተፈራረደ
ተደየነ,ተገዝአ
ተጸወነ,ተጸግዐ
ተጽዕነ,ተጻዕነ፡ ኣብ በቕሊ ሠረረ
ቴገነ,ጉልቲ ሃበ
ተቶነ,ቶታን ገበረ(ንጥራዝ፡ መጽሓፍ)
አመዝገነ,ኣመስገነ
አምነ,ኣመነ
አስተንተነ,ሓሰበ፡ ኣገልገለ
አርበነ,ፈተገ፡ ቃቕሐ
አእመነ,ኣእመነ
አዕበነ,እምኒ ገበረ
አኮነ,ኣኾነ፡ ገበረ፡ ኣግበረ
አውየነ,ወይኒ ገበረ
ዐየነ,ገምገሙ
አድነነ አጽነነ,ኣዘንበለ፡ ኣድነነ
ዐጠነ,ዓጠነ
አጥነነ,ኣድነቐ፡ ኣበርትዐ
አጽፈነ,ኣቕድሐ
አፍጠነ,ኣፍጠነ፡ ቀልጠፈ
ከደነ,ኸደነ፡ ኣልበሰ
ከፈነ,ሸፈነ
ኮነ,ኾነ
ኮነ,ተሰቕለ (ስንክሳር)
ኰርኰነ፡ ኰርጐነ,ኣከበ፡ ደለበ
ኰነነ,ፈረደ፡ ገዝአ
ወሰነ,ደንገገ፡ ወሰነ
ወጠነ,ጀመረ
ዘገነ,ሓፈሰ፡ ሓፈነ
ዘፈነ,ዘፈነ፡ ሳዕስዐ
ዝኅነ,ጸጥ በለ፡ ሃድአ
ደመነ,ደመና ኾነ
ደመነ,ጸለመ
ደነነ,ተጐምብሐ፡ ድንን በለ
ደየነ,ፈረደ፡ ቐጽዐ
ደፈነ,ደፈነ፡ ቐበረ
ዴገነ,ተኸተለ፡ ሰዓበ
ድኅነ,ደኃነ
ገመነ,ኃጢኣት ገበረ፡ ረኸሰ
ጐሐነ,ዓንገረር በለ፡ ኣዜመ
ጠሐነ,ጠሓነ
ጤገነ,ቀለወ
ፀቈነ,ሓፀረ፡ ገድገደ
ጸቈነ,ጨምጨመ (ንዳስ)
ጸነ፡ ጸነነ,ዘምበለ፡ ዛዘወ
ጸንጐነ,ጨቀወ፡ ጸበበ
ጸንጸነ,ነቐዘ፡ ፈረሰ፡ ጠፍአ፡ዓነወ፡ ተበላሸወ
ፀዐነ,ጸዓነ
ጸፈነ,ቐድሐ
ፈተነ,ፈተነ፡ ኣምከከ
ፈየነ,ገምገመ
ፈጠነ,ፈጠነ
ፈጸነ,ተንቀጥቀጠ፡ ሓመመ
ለነ,ንኣና
መነ,መን
መጠነ,ስለ፡ ክንድዚ ዚኣክል
በይነ,ስለ
ብነ,ኣሎና፡ ብኣና
ንሕነ,ንሕና
አምጣነ,ዚኣክል፡ እሞ፡ ስለ
አነ,ኣነ
ዓይነ,ስለ፡ ኣብ ክንዲ
እምነ,ካብ
እምነ,ኣዴና
እንበይነ,ብዘይ ስለ
ኪያነ,ን ንኣና
መንዝኀ,ሓንቀቐ፡ ተደላደለ
ቀድኀ,ቀድሐ
በዝኀ,በዝኀ
በጥኀ,በጥኀ፡ ጸመመ፡ ኣምበዘ
በኀበኈ,በስበሰ፡ ሸተተ፡ በኵበዀ
ተራኅርኀ,ለውሀ፡ ራኅርኆ፡ ደንገፀ
ተኣይኀ,ተተኰሰ
ተወኀውኆ,ብልጭልጭ በለ፡ ተመላለሰ
ነስኀ,ጨነወ፡ ሸተተ፡ ከርፍሐ
ነኀንን,እኹል ተረፍ ኮነ
ነዝኀ,ነጸገ፡ ነዝሐ
ኖኅ,ነውን
አምኀ,ኢድ ነሥአ፡ ሰላምታ ኣቕረበ
አሰይኀ,ኣሕመመ፡ ኣቚሰለ
አይኀ,ኣጥፍአ፡ ንድኅሪት በለ
ኤኀ,ተኰሰ
ዛኅዝኀ,ሰፈረ፡ ዝያዳ ኾነ
ደኅኀ,ጸንዐ፡ ከነነ፡ ተረረ
ሐስአ,ሓስአ፡ ዘሓለ፡ ሃድአ
ኀሥዐ,ጸጥ በለ
ኀብዐ,ኃብአ
ኀድአ,ኀድአ፡ ጸጥ በለ
ኀጥአ,ኃጥአ፡ሰኣነ
ለምአ,ኣንጸባረቐ፡ በርሀ
ለምዐ,ለምዐ፡ ለምለመ
ለክአ,ሸንከረ፡ ዓቀነ
ላዕልኣ,ጸያፍ፡ ባእባእ፡ ኮልታፍ ኮነ
መልዐ,መልአ፡ ኃዘ
መልዐ,መገዲ ኸደ
መምአ,ተሸበረ፡ ተረበጸ
መርአ,ተተናኸፈ፡ ተዃሸመ
መርአ,ጠወረ
መጽአ,መጽአ
ሜአ,ኣእወየ፡ ነቀወ፡ ሜእ በለ
ሞዐ,ሰዓረ፡ ኣሰነፈ
ሰምዐ,ሰምዐ
ሰምዐ,መስከረ
ሠሥአ,ዘፈነ፡ ሳዕስዐ
ሰስአ,ሰሰዐ
ሠርዐ,ሠርዐ፡ ሓገገ
ሰብዐ,ሾብዓተ ገበረ
ሰክአ,ሸኵዐ፡ ደርደረ
ሰይአ,ብዝሙት ነደደ፡ ነውሪ ነገር ገበረ
ሰጉዐ,ነደለ፡ በስዐ
ሳዕስዐ,መለሰ፡ ተዛረበ
ሳዕስዐ,ቅልጥፍ ቅልጥፍ በለ
ሦዐ,ሓረደ፡ ሠውአ
ረስዐ,ረስዐ
ረስአ,ኣረገ
ረብዐ,ኣርባዕተ ገበረ
ረትዐ,ቀንዐ፡ ረትዐ
ረድአ,ረድአ፡ ሓገዘ
ረግዐ,ረግአ
ረፍአ,ሰፈየ፡ ኣድኃነ፡ ፈወሰ
ቀልዐ,ቀልዐ፡ ገለጸ
ቀርዐ,ብበትሪ ሃረመ
ቀብአ,ቀብአ
ቀንአ,ቀንዐ
ቀውዐ,ቀውዒ ኾነ፡ ቀውዐ
ቀጽዐ,ቀጽዐ፡ ቘረጸ፡ ጎበጠ
ቀጽዐ,ጸረገ
ቄአ,ተፍአ፡ ኣምለሰ፡ ጡፍ በለ
ቈቊአ,ቋዕ ቋዕ በለ፡ ጸጸረ
ቈቊአ,ተወጋግኣ፡ ተበሳስዐ
ቆአ,ጨልግዐ፡ ጨልቅዐ
በልዐ,በልዐ
በቊዐ,ጠቐመ
በጽኣ,ተመባጽዐ
በፅአ,ኸበረ፡ ብፁዕ ኮነ
ቦአ,ኣተወ
ተለምአ,በለጭ በለጭ በለ፡መስመስ በለ
ተላምአ,ተኸናወነ፡ ጸረየ
ተማልአ,ንእግረ መገዱ ወሰደ፡ ተማልአ
ተምዐ,ተቘጥዐ፡ ሓረቐ፡ ነደረ
ተሰብአ,ሰብ ኮነ
ተስዐ,ትሽዓተ ገበረ
ተስዕዐ,ተገፈፈ፡ ተገለጸ፡ ተቐልዐ
ተራድአ,ተሓጋገዘ፡ ተራድአ
ተቀጽአ,ተቐርደደ፡ ተቐጽዐ፡ ተቘርጸ
ተቈጥአ,ተቘጥዐ፡ ሓረቐ፡ ነደረ
ተበውአ/ተባውአ,ተኣታተወ
ተብዐ,በርትዐ፡ ጨከነ፡ ተብዐ
ተንሥአ,ተንሥአ
ተንግአ,ወፅአ
ተወጽኣ,ተወጽዐ፡ ተሳዕረ፡ ተሸነፈ
ተዛውአ,ተጻወተ፡ ኣዕለለ
ተጋብአ,ተኣከበ፡ ተጋብአ
ተጣእጥአ,ተዳለወ፡ ተሰናድአ
ተጣእጥአ,ተበራትዐ፡ ተጸናንዐ
ተጣግአ,ተጣበቐ፡ ጠግአ፡ ተጠቅዐ
ተጸርአ,ተኸልከለ፡ ጠፍአ፡ በኰረ
ተጸንግአ,ተጸግዐ፡ ተጋደመ
ተጸኣጽአ,ኣኽበረ፡ ኣወፃፅአ
ተፀዐፀዐ,ተገዝአ፡ ሰገደ፡ ወፅአ
ተፀዐፅዐ,ኣርከሰ
ተጸውዐ,ተጸውዐ፡ ተሰይመ
ተጻብኣ,ተጻልአ፡ ተጻብአ
ተጻእጽአ,እንእስ በለ
ተጻእጸአ,ኣጒደለ
ተፈግአ,ባህ በሎ፡ ተሓጐሰ
ተፍአ,ተፍአ፡ ኣምለሰ
ነሥአ,ወሰደ፡ ኃዘ
ነቅዐ,ነቕዐ፡ ተሰንጠቐ፡ ተተርተረ
ነትዐ,ነትዐ፡ ሃደመ፡ ተሰነፈ
ነዝዐ,መሓወ፡ በርቘቘ(ንመስማር)
ነድአ,ኰብኰበ፡ ከብከበ
ነድአ,ጐስጐሰ፡ ኣሃወኸ፡ ኣቐልጠፈ
አመልአ,ዕዝር ኢሉ ኸደ
አመንትኣ,ሓኸኸ
ኣመግዝአ,ኣሥብሐ (ንብዕራይ፡ ንላም)
አምዕዐ,ኣበሳጨወ፡ ኣቘጥዐ፡ ኣሕረቐ
አምዕዐ,ነዓቐ፡ ፈርሀ
አስተላክአ,ኣጋጠመ፡ ኣራኸበ
አስተላክአ,ኣተኃኃዘ
አስምዐ,ኣስምዐ፡ ኣመስከረ
አስተማጽአ,ጠቐሰ፡ ስሓበ፡ ጐተተ
ኣስተብቊዐ,ለመነ፡ ማለደ
አስተብፅዐ,ኣመስገነ፡ ብፁዕ በለ
አስተብፅዐ,ኣድነቐ፡ ኪድነቕ ገበረ
አስተናሥአ,ኣለዓዓለ
አስተናጒዐ,ኣንጕዐ (ኣንጕዕ ካብ ዓፅሚ)
አስተንድአ,ብግዲ ወሲኹ ወሰደ
ኣስተአ,ገበረ፡ ገጽ በረኸት ሃበ
አቀምጥአ,ተሸመ፡ ኣመካነየ
አቀምጥአ,ኣቘምጥዐ፡ ለወሰ
አብኀአ,ኣብኵዐ፡ ኣብሓቘ
አንሳአስአ,ኣፍልሐ
አንብዐ,ነብዐ፡ ኣልቀሰ፡ በኸየ
አንትዐ,ኣንትዐ፡ ቀደደ፡ ኣህደመ
አንጒዐ,ሰበረ፡ ኣንጕዐ
አንጠአጥአ,ጣዕጣዕ በለ፡ ለወሀ፡ ተሃወኸ፡ ሰምበደ
አንጦልዐ,ጋረደ
አውሥአ,መለሰ፡ ተዛረበ፡ ኣውሥአ
ኣውክአ,ኣሰልከየ፡ ኣድከመ፡ ኣውክዐ
አውፅአ,ኣውፅአ
ኣይኅአ,ወረደ፡ ኣውረደ፡ መጽአ
አይድዐ,ነገረ
አድምዐ,ኣድምዐ፡ ረኸበ
አግብአ,ኣኅሊፉ ሃበ፡ ሸጠ
አግብአ,መለሰ፡ ኣእተወ
አጣእጥአ,ቀመመ፡ ኣመቀረ፡ ኣሰናድአ
አጸንግአ,ኣጸግዐ፡ ተጸግዐ
ኣጸኣጽአ,ኣኽበረ፡ ተከናኸነ
አጽምዐ,ጽን በለ
አጽርአ,ኣብኰረ፡ ሥራሕ ኣትረፈ
አጽንዐ,ኣጽንዐ፡ ኣበርትዐ፡ ኣጠናኸረ
ከልአ,ከልአ፡ ከልከለ
ከልዐ,ክልተ ገበረ
ከፍአ,ከፍአ
ኰርዐ,ሃረመ፡ ወቕዐ
ወቅዐ,ወቕዐ፡ ሃረመ
ወቅዐ,ቈረጸ
ወውዐ,ፈከረ፡ ዓው ኢሉ ጨፈረ
ወድዐ,ወድአ፡ ፈጸመ
ወድአ,ቀረበ
ወግአ,ወግአ
ወግአ,መገበ (ንሕፃን ጸባ)
ወፅአ,ወፅአ
ወጽኣ,ሰዓረ፡ ድል ረኸበ፡ ተዓወተ
ዘርአ,ዘርአ
ዘብአ,ዘምብዐ፡ ዘምበለ
ዘንግዐ,ዘንግዐ
ደርዐ,ጨከነ፡ ከኣለ
ደርፍአ,ደርዐ (ንድርዕቶ)
ደፍአ,ደፍአ፡ ገልበጠ፡ ገምጠለ
ገምዐ,ነጸየ
ገምአ,ላጸየ፡ ቘረጸ
ገብትአ,ሰዓረ፡ ገልበጠ፡ ገምጠለ
ገብአ,ተመልሰ
ገብአ,መለሰ
ገብአ,ተታኀዘ
ገብአ,ጀመረ
ገብአ,ኮነ
ገብአ,ወደቐ፡ ተደርበየ
ገዝአ,ገዝኣ፡ ተሻየጠ
ገዝዐ,ፈለየ፡ ኣብ ክልተ ኸፈለ፡ ተርተረ
ገፍአ,ገፍዐ፡ ደፍአ፡ በደለ
ጐሥዐ,ጐሥዐ፡ ተዛረበ
ጐሥዐ,ገንፈለ፡ ፈልሐ
ጐንአ,በረኸ፡ ኮመረ፡ ጐንዐ
ጐድአ,ሃረመ፡ ወቕዐ፡ ተንከየ፡ ተንከፈ
ጐጒአ,ተሃወኸ፡ ተረበጸ
ጠልዐ,በቘለ
ጠልዐ,ዓበየ ነውኀ
ጠምዐ,ኣለኸ፡ ጠምዐ
ጠርዐ,ጠርዐ፡ ኣቤት በለ፡ ተማኅፀነ፡ ይግባይ በለ
ጠቅዐ,ደወለ፡ ሃረመ፡ ነፍሐ፡ ኣጣቕዐ
ጠብዐ,ጨከነ፡ ጸንዐ፡ ጠብአ
ጠውአ,ኣንኣሰ
ጠግዐ,ጠግዐ፡ ተጸግዐ
ጠግዐ,ደረቐ፡ ተጣበቐ
ጠፍአ,ጠፍአ
ጣእጥአ,ሠርሐ፡ ጸበቐ፡ መቀረ
ጣዕጥኣ,ቅልጥፍጥፍ በለ
ጤአ,መረገ፡ ደፈነ
ጦአ,ነፈገ፡ በቐቐ፡ ሰስዐ
ጦአ,ኣንኣሰ
ጸልአ,ጸልአ
ጸልዐ,ቈሰለ
ጸምዐ,ጸምኣ
ጸርአ,ኣቋረጸ፡ ሓጐለ፡ ዓየነ፡ ዛወነ
ጸርአ,ተሓጒለ፡ በኰረ
ጸብአ,ጠፍአ፡ ተሓጒለ
ጸብዐ,ተጻልአ፡ ተጻብአ
ጸንዐ,ጸንዐ
ጸንኣ,ኣጸናንዐ፡ ኣተባብዐ፡ ተስፋ ሃበ
ጸንጕአ,ተጸግዐ
ጸውዐ,ጸውዐ
ጸፍዐ,ጸፍዐ (ብጽፍዒት ሃረመ)
ጻዕአ,ብልጭ በለ፡ ማሕ በለ
ጸዕፅዐ,ኣቘልዐ፡ ኣበርዓነ
ጌአ,ሓሸከ፡ ጨነወ፡ በድበደ
ጌአ,ፈርፈረ፡ ቈራረሰ
ፈርግዐ,ዓተረ
ፈቅአ,ገመሰ፡ ሰንጠቐ፡ መቐለ፡ ፈግአ
ሐነከ,ሓፈረ፡ ሓነኸ
ሐነከ,ሃበ፡ እንካ በለ
ሐከከ,ተኸራኸረ
ኄከ,ሓየከ
ሆከ,ሃወኸ
ለአከ,ለኣኸ
ለከከ,ጸሓፈ
ለሐኰ,ፈጠረ፡ ገበረ፡ ሠርሐ
መሐከ,ራኅርኅ፡ ለውሀ
መሐኰ,ተመላለሰ
መለከ,መለኸ፡ ገዝአ፡ ሠልጠነ
መሰከ,መጠጠ፡ ገተረ
መሰከ,ኣቕረበ
መሰከ,ኣቕጠነ
መኣከ,ተቘጥዐ፡ ሓረቐ
ማኅረከ,ማረኸ
ምሕከ,ረኣየ፡ ሓለወ፡ ኣንጽሀ፡ ራኅርኅ
ምዕከ ንዕከ,ከፍአ፡ ጸወገ
ሤረከ,ብልህ ኾነ
ሰበከ,መሃረ፡ ሰበከ
ሰበከ,ጣዖት ሠርሐ፡ ቀረጸ
ስህከ,ሓኸኸ፡ ሻሕረመ
በረከ,በሮኸ፡ ተምበርከኸ
በተከ,በተኸ፡ ቘረጸ
በከ፡ በከከ,ከንቱ (ብላሽ) ኮነ
ባረከ,መረቐ፡ ኣመስገነ
ባረከ,ጸረፈ፡ ረገመ
ተመልአከ,ሐለቓ ኾነ
ተዐረከ,ዓርኪ ኾነ፡ ተዓራረከ
ነሰከ,ነኸሰ
ነክነከ,ወዝወዘ፡ ነቕነቐ
ነክነከ,ጐስጐሰ፡ ደፋፍአ
ንህከ,ኣስተውዓለ
ንሕከ,ላሕ ኣበለ፡ ተጨነቐ
አምለከ,ኣምለኸ
አስመከ,ተጸግዐ፡ ተደገፈ
አስተብረከ,ተንበርከኸ፡ ሰገደ
አስተፍነከ,ሰጐደ፡ ኣፍ ልቢ ወቕዐ
አውከከ,ኣድኃርኃረ፡ ወፅአ
አውከከ,ኣጥፍአ፡ ኣፈራርሀ
አውከከ,ኣጒደለ፡ ኰረየ
ወሐከ,ኣለዓዓለ
ወሐከ,ተበሳጨወ
ወሰከ,ወሸከ
ደረከ,ደረኸ፡ ከፍአ፡ ጸንዐ
ደነከ,ዘልዘለ (ንሥጋ)
ድኅከ,ደኃኸ፡ ደኝኸ
ጐነኰ,ጐዀ፡ ኣግዓዘ
ፈለከ,ፈጠረ
ፈለከ,ከፈለ
ለከ,ንኣኻ፡ኣሎካ
ብከ,ብኣኻ፡ኣሎካ
እስከ,ክሳዕ፡ ክሳብ
እንከ,ብፍጹም
ኪያከ,ንኣኻ
ሀለወ,ነበረ፡ ኣሎ
ሐለወ,ሓለወ፡ ጓሰየ
ሐሰወ,ሓሰወ
ሐረወ,በስዐ፡ ኣንኰለ
ሐረወ,ቀረጸ
ሀበወ,ዛዕዛዕታ ኾነ፡ ህቦ ኾነ
ሐተወ,በርሀ
ሐይወ,ደኃነ፡ ሓወየ፡ ነበረ
ሐጸወ,ሰለበ፡ ቈረጸ
ሐፈወ,ረሃጸ፡ ደኸመ
ኄረወ,ለጋስ ኮነ፡ ለገሰ፡ ለውሀ
ለሀወ,በኸየ፡ ኣልቀሰ
ለቀወ,ኣፉ ኸፈተ፡ ኣምባሃቘ
ለበወ,ለበመ፡ ኣስተውዓለ
ለከወ,ፈዘዘ፡ ባዕዘዘ (ንዓይኒ)
ለወወ,ተኮረ፡ ደፈረ፡ ከፍአ
ለውለወ,ኣምባሃቘ
ለውለወ,ለውለወ፡ መልሓሱ ኣውፅአ
ላህለወ,ከርፈስ ሠርሐ
ሎለወ,ሎለወ፡ መድፈና ገበረ
ሎለወ,ለብለበ፡ ፈለየ
መሐወ,ቀጸየ፡ መሓወ፡ ሓሰየ
መስወ,መሸኸ፡ ፈርሀ
መረወ,መረወ፡ ረበበ (ንቤት)
መንሰወ,ጠፍአ፡ ዕዋኖ ዝዋኖ ኾነ
መንሰወ,ብኽፉእ ፈተነ፡ ጠፍአ
መካዕለወ /መኳዕለወ,ዓጸደ
መጠወ,ሃበ፡ መጠወ
መጸወ,መጸጸ፡ ሓገየ
መጽለወ,መጽለወ፡ ቀምሰለ
ማለወ,ሸፈነ
ምህወ,መሸከ
ሰሰወ,መገበ
ሰረወ,መሓወ፡ ነቐለ
ሰንቀወ,በገና ወይ መሰንቆ ሃረመ
ሰውሰወ,መሣልል (መደያይቦ) ሠርሐ
ሰካዕለወ,ቈጥቈጠ
ሥህወ,ጐተተ፡ ሰሓበ፡ ሰሓወ
ስሕወ,ሰሓወ፡ ተሳሕበ፡ ተጐተተ
ረበወ,መሃረ
ርኅወ,ሸተተ፡ መዓዘ
ቀለወ,ቐለወ
ቀስተወ,ስሓበ፡ ገተረ
ቀበወ,ከብዲ ነፍሐ
ቀተወ,ገበረ (ግብሪ ከፈለ)
ቀነወ,ሸንከረ፡ ወግአ
ቀደወ,ቀደወ፡ ጸረየ፡ ጸበቐ
በቀወ,ፈለየ፡ ቈረጸ፡ ፈለጸ፡ ሰበረ፡ ሰንጠቐ
በድወ,ምድረ-በዳ ኾነ፡ ባደመ
በፀወ,በጽበጸ
ዐጸወ,ትኽስ በለ፡ ደቀሰ
ቤዘወ,ተበጀወ፡ ኣድኃነ
ተሐመወ,ሓሙ ኾነ
ተኀረወ,ለጋስ ኮነ፡ ለውሀ፡ ራኀርሀ
ተለወ,ተኸተለ፡ ሰዓበ
ተመርዐወ,ተመርዓወ
ተመንሰወ,ተጠፋፍአ፡ ተፈተነ
ተመድለወ,ተገበዘ
ተመጠወ,ተዋህበ፡ ተቐበለ፡ ተመጠወ
ተማህከወ,ደንገፀ
ተሠርገወ,ተሰለመ፡ ኣጌጸ
ተሰነአወ,ተሰማምዐ
ተሠገወ,ሥጋ ለበሰ
ተሰጥወ,መለሰ
ተሰፈወ,ተስፋ ገበረ
ተስቆቀወ,ደረቐ፡ ቃዕቃዕ በለ(ንማይ)
ተርኅወ,ተራኅወ፡ ተኸፍተ
ተቀሐወ,ተኸራኸረ፡ ተፈኻኸረ
ተቀልወ,ተቐልወ፡ ተጠብሰ
ተቀነወ,ተሸንከረ፡ ተወግአ
ተቀናደወ,ተፈኽነነ
ተባሕተወ,ባሕታዊ ኾነ፡ ንበይኑ ኾነ
ተናቀወ,ተናቓነቐ፡ ተናቐወ
ተንሐወ,ተሓጕመ
ተንሕወ,ተሓጒመ
ተኣኀወ,ኣኅዋት ኮነ፡ ተዋኀወ
ተዐልወ,ተተርጐመ፡ ተገምጠለ
ተዐደወ,ተኃላለፈ፡ ተሳገረ
ተዐፀወ,ዕፃ ተዋደቐ
ተዐፅወ,ተዓፅወ (ንማዕፆ)
ተኬነወ,ብልሓተኛ ኾነ፡ ተባላሓተ
ተወልተወ,መከተ፡ ተሰለፈ፡ ተኻላኸለ
ተደለወ,ተዳለወ፡ ተሰናደወአ
ተደናጸወ,ተናፈገ
ተገጸወ,ገጽ ንገጽ ተራእየ
ተጐናደወ,ተዓናቐፈ፡ ተጐናደበ
ተጓሕለወ,ተጻልአ፡ ኣታለለ
ተጓህነወ,ምሥጢር ተርጐመ
ተጻገወ,ብልግሲ ተወሃሽበ
ነቀወ,ነቀወ
ነበርጸወ,ሞቐ፡ ተኰሰ (ንረስኒ)
ነዐወ,ሃደነ
ኖለወ,ሓለወ፡ ጓሰየ
ኖተወ,ሓምበሰ
ዐለወ,ዓለወ፡ ዓመጸ፡ ገበነኛ ኾነ
ዐለወ,ሸፈተ፡ ኸድዐ፡ መቓልሕ ኮነ
አልወ,ተርጐመ፡ ገምጠለ
አልወ,ሓላዊ ኣፍ ደገ ኾነ
አልከወ,ኣፍዘዘ
አመስነወ,መስኖ ኣስተየ
አመስከወ,ኣመዅስዐ
አመንሰወ,ኣጥፍአ፡ ፈተነ
አመንተወ,ኣመንተወ፡ ማንታ ገበረ
አመድለወ,ግብዝ ገበረ፡ ኣቐምሰለ
አስሐወ,ኣውፅኣ
አስቆቀወ,ቆዘመ፡ በኸየ
አስተሐየወ,ቀጸለ
አስተሐየወ,ኣጋጠመ፡ በየደ፡ ኣልሓመ
አስተዳለወ,ኣዳለወ፡ ኣሰናድኦ
አስተጓህነወ,ምሥጢር ተርጐመ
አስተጓህነወ,ምሥጢር ነገር ኣስምዐ
አስፈርለወ,መዘነ
አስፈዔርለወ,ደለበ፡ ከዘነ፡ ኣከበ
አስፈድለወ,ዕጽፊ (ድርብ) ገበረ
አስፌድለወ,ቈጥቈጠ
አረወ,ኳሕኵሐ
አርኀወ,ኸፈተ፡ ኣርኃወ
አቀምጠወ,ተለመ፡ ኣከናወነ፡ ኣመዓራረየ
ኣቅተወ,ግብሪ ኣኽፈለ
አብቀወ,ኣፉ ኸፈተ፡ ኣምባሃቘ
አብቀወ,ከፈተ፡ ሃህ ኣበለ
አተወ,ኣተወ
ኣቴክለወ,ሃታሃታ በለ፡ ተብተብ በለ
አናሕሰወ,ኣቃለለ፡ ኣናሕሰየ
አንሳሕለወ,ጸምለወ፡ ቐምሰለ
አንሶሰወ,ተመላለሰ፡ ኣመላለሰ
አንቃዕደወ,ኣንቃዕረረ፡ ናብ ላዕሊ ጠመተ
አንባሕቀወ,ኣምባሃቘ፡ ኣፉ ኸፈተ
አንጐገወ,ቀበዝበዝ በለ፡ ቀልብዐ
ኣዕለወ,ፈለየ፡ መለሰ
ኣዕለወ,ተርጐመ፡ ገምጠለ
አውለወ,ተምበልበለ
አውየወ,ኣእወየ
ዐደወ,ተሳገረ፡ ረገጸ
አድለወ,ኣዳለወ፡ ኣድለወ
አጥዐወ,ኣማረተ፡ ጠንቈለ
አጥዐወ,ጣዖት ኣምለከ
ዐፀወ,ዓፀወ
ከዐወ,ከዐወ፡ ኣፍሰሰ
ከወወ,ቀልጠፈ፡ ሰለጠ
ኮከወ,ኮኸወ፡ ኳዀየ
ኳለወ,ዓጸደ
ወልተወ,መከተ፡ ተኸላኸለ
ወረወ,ወርወረ፡ ደርበየ፡ ሰንደወ
ወርዘወ,ጐበዘ፡ ወርዘየ
ወይለወ,በከየ፡ ኣልቀሰ፡ ወይለይ በለ
ዘመወ,ኣመንዘረ፡ ዘመወ
ዘረወ,ዘረወ፡ ፋሕ ኣበለ
ዜነወ,ኣውረየ፡ ነገረ፡ ሰበኸ
ደለወ,መዘነ
ደለወ,ተገብአ
ደለወ,ተመሽአ፡ ተሰማምዐ
ደመወ,ደመየ፡ ደም ወፅአ
ደንቀወ,ጸመመ
ደንጸወ,ደንጸወ፡ ነፈገ፡ በቐቐ
ገለወ,ጸልመተ፡ ሸፈነ
ገነወ,ጣዖት ሠርሐ፡ ገነወ
ገጸወ,ገለጸ፡ ገጽ ንገጽ ኣረኣኣየ
ጎገወ,ሰሓተ፡ ተጋገየ (ንመገዲ)
ጓሕለወ,ኣታለለ፡ ጠበረ (ጕሒላ)
ጠበወ,ጠበወ
ፀሐወ,ኣእወየ፡ ጨርሐ፡ ጨደረ
ፀቀወ,መቀረ፡ ወለላ ኾነ
ፀቀወ,ሸንከረ፡ ጨፍለቐ፡ ወግአ
ፃመወ,ደኸመ፡ ፃመወ
ፃዕደወ,ፃዕደወ
ፄወወ,ማረኸ
ፄነወ,ጨነወ፡ ሸተተ
ጸለወ,ጽን በለ፡ ተጸናጸነ
ጸለወ,ጸለወ፡ኣብሰለ
ጸልሐወ,ሓሰወ፡ ከድዐ፡ ቀምሰለ
ጸመወ,ደረቐ
ጸበወ,ሓበጠ
ጸንጰወ,ቀጥቀጠ፡ ጠወየ
ጸገወ,ጸገወ፡ ሃበ
ጸገወ,ይቕረ በለ
ጽሕወ,ነቕሐ፡ ተግሀ
ጽሕወ,ገለጸ፡ በርሀ
ፈለወ,ፈለየ
ፈተወ,ፈተወ፡ ተመነየ፡ ፈቐደ
ፈተወ,በሃገ፡ ሃረር (ቅኒን) በለ
ፈነወ,ኣፋነወ:ለኣኸ
ለዝለዘ,ሓመመ
ሎዘ,ጠምዘዘ
ሐልዘዘ,ኣፍረየ
